"Logsend Manager","Danh sách tin nhắn"
"Template Manager", "Danh sách mẫu tin nhắn" 
"Invalid phone","Số điện thoại không hợp lệ"
"Out of quota","Hết hạn gởi tin nhắn"
"Not enough params","Không đủ tham số truyền vào API"
"Recipient invalid","Sai số điện thoại"
"Message is null","Tin nhắn không có"
"BrandName is null","Tên Công ty chưa có giá trị"
"Ip address Invalid","Địa chỉ IP không đúng"
"BrandName not register","Công ty chưa đăng ký dịch vụ"
"Recipient not receiver SMS message","Số điện thoại không nhận được tin nhắn"
"User postpaid","Tài khoản trả sau"
"BrandName has existed in system","Công ty không tồn tại trong hệ thống"
"Ip has existed in system","Ip không tồn tại trong hệ thống"
"Out of length message","Chiều dài tin nhắn quá giới hạn"
"Not support telcos","Không hổ trợ mạng"
"Authentication faild","Lỗi xác thực tài khoản"
"Brandname existed","Công ty đã tồn tại"
"Out of limit recipient (500 recipients) (use for sendSmsToListPhone)","Danh sách người nhận quá giới hạn"
